Nr. Crt.,Numar Registru,Numar Registru Special,Data Inregistrare,Categorie Personalitate Juridica,Denumire ONG,Instanta,Status,Este Filiala,Localitate,Judet,CUI,Scop,Are Utilitate Publica,Categorii relevante,Motiv relevanță,Tip intervenție
4530,3670/A/2025,122,09.12.2025,Asociație,ASOCIAȚIA HEMIA PLUS,Judecatoria SECTORUL 3 BUCURESTI,Inregistrat,Nu,SECTORUL 3 - BUCURESTI,BUCURESTI,,"Scopul propus al Asociatiei HEMIA PLUS il reprezinta  sprijinirea copiilor cu nevoi speciale, copiilor cu sindroame genetice rare, copiilor provenind din familii cu cel putin doi copii neurodivergenti – prin acces la terapii specifice, investigatii medicale, activitati educationale si de incluziune, precum si sustinerea familiilor si apartinatorilor acestora prin sprijin logistic, medical sau psiho-emotional astfel:
•	Directii de sprijin si beneficiari principali
- Copiii fondatorului, toti cu nevoi speciale.
- Familiile care au minimum doi copii cu nevoi speciale („2 plus”).
- Copiii cu sindroame genetice rare.
- Copiii neurodivergenti in general (ex. autism, ADHD, tulburari de dezvoltare).
•	Utilizarea fondurilor
- Terapii directe pentru copii
- Terapii, in special cele validate stiintific: logopedie, kinetoterapie, terapie ocupationala, DIR Floortime, Masgutova, Padovan, Castillo Morales, VML (verbal motor learning), si orice alta terapie de baza recunoscuta.
- Terapii complementare: cu animale: delfini, cai, câini
- Alte forme: terapie senzoriala, meloterapie, dans-terapie, hidroterapie, amnioterapie, terapie psiho-somatica,
•	Sprijin pentru parinti:
- Cursuri si workshopuri pentru parinti, pe teme de terapie si medicina de specialitate.
•	 Investigatii medicale costisitoare:
- RMN, teste genetice, testari de disbioza intestinala, neurotransmitatori, consulturi medicale, interventii stomatologice cu sedare sau inhalo-sedare, precum si orice alt tip de investigati medicala, indiferent daca sunt sau nu decontate prin CNAS, in functie de disponibilitatea accesului la aceste servicii.
•	 Echipamente si recuzita, exceptie facand cele decontate total prin CNAS:
- Talonete, ghete ortopedice, sisteme de comunicare augmentativa (AAC), recuzita utilizata in terapie, scaune rulante, verticalizatoare sau alte echipamente medicale si educationale adaptate.
•	 Deplasari si costuri logistice:
- Deplasari in strainatate pentru terapii indisponibile in România, sau in zone din tara fara acoperire adecvata, dar fara a iesi din scopul asociatiei.
- Costuri de transport (avion, tren, masina) si cazare aferente perioadei terapiei – fie in tara, fie in afara tarii, inclusiv cazare temporara pentru perioade extinse (ex: terapii intensive de durata), atunci când aceste costuri sunt necesare pentru accesul la terapie, dar fara a iesi din scopul asociatiei.
•	 Activitati de echilibrare emotionala:
- Activitati de respiro si recreere pentru copii si parinti: tabere terapeutice, vacante active, iesiri in natura, drumetii sau activitati psiho-emotionale de reincarcare, dar fara a iesi din scopul asociatiei.
- Sprijin complementar pentru apartinatori
Asociatia poate sprijini, in mod complementar, parintii sau apartinatorii copiilor beneficiari, prin interventii de natura medicala, psihologica sau logistica, in situatiile in care acestia se confrunta cu epuizare fizica, emotionala sau alte forme de vulnerabilitate care afecteaza capacitatea lor de a sustine copilul in procesul terapeutic sau educational, dar fara a iesi din scopul asociatiei.
•	Asociatia poate desfasura orice activitati economice directe, daca acestea au caracter accesoriu si sunt in strânsa legatura cu scopul principal al asociatiei si cu respectarea art. 48 din O.G. nr.26/2000.
•	Asociatia poate sustine orice activitate medicala, educationala, psihologica, sociala, recreativa sau logistica in beneficiul copiilor cu nevoi speciale si al familiilor acestora, indiferent de gradul de decontare al serviciilor sau echipamentelor de catre stat ori alte institutii publice sau private.
•	Asociatia poate oferi sprijin financiar, material, logistic sau emotional in orice forma pe care Consiliul Director o considera necesara, in interesul superior al copilului cu nevoi speciale sau al familiei acestuia, inclusiv pentru situatii neprevazute, urgente sau de natura psiho-emotionala, care contribuie la recuperarea, mentinerea echilibrului sau integrarea in societate.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4552,3641/A/2025,6/PJ,06.12.2025,Asociație,ASOCIATIA COGNIBLOOM ASSOCIATION,Judecatoria FAGET,Inregistrat,Nu,FAGET,TIMIS,,"Scopul principal al asociatiei este de a contribui la dezvoltarea sanatatii mintale si educationale a copiilor, adolescentilor si adultilor prin servicii de psihoterapie indreptate cu precadere catre persoanele cu dezabilitati, consiliere, educatia nonformala, activitati recreative, precum si prin dezvoltrea comunitatii prin initiative de incluziune, sprijin si consiliere de formare profesionala. Asociatia este o entitate non-profit, susținută si prin contribuțiile voluntare ale membrilor și ale membrilor simpatizati precum si sponsorilor, care-i impartasesc viziunea despre o lume mai buna. De asemenea, asociatia isi propune sa desfasoare si activitati economice, in conformitate cu prevederile OG nr. 20/2006 privind asociatiile si fundatiile, in vederea asigurarii continuitatii activitatilor acesteia.",Nu,Consiliere copii; Educație/meditații,"menționează explicit consiliere/suport psihologic pentru copii, elevi sau minori; menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Consiliere copii + Educație/meditații
4566,3630/A/2025,29,05.12.2025,Asociație,ASOCIAȚIA „PRIMUL PAS ÎN CREȘĂ”,Judecatoria ZALAU,Inregistrat,Nu,ZALAU,SALAJ,,"- sprijinirea activităților educaționale, sociale și recreative desfășurate în cadrul creșei, prin atragerea  și gestionarea de resurse  financiare și materiale, în vederea asigurării unui mediu educațional de calitate, sigur și incluziv pentru copii.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4568,3618/A/2025,148,05.12.2025,Asociație,ASOCIAȚIA BUCURIA DE A DĂRUI,Judecatoria SECTORUL 1 BUCURESTI,Inregistrat,Nu,BUCURESTI,BUCURESTI,53165093,"- de acordare de servicii sociale in domeniul protecției copilului, persoanelor vârstnice, persoanelor adulte, invalizilor, sprijinirea material caritabilă a <PERSON> aflate în nevoi, precum și educația, pregătirea, și transformarea acestei generații spre o conduită morală benefică vieții <PERSON> și comunității.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4573,3627/A/2025,25,05.12.2025,Asociație,ASOCIAȚIA INFINIT PENTRU VIITOR,Judecatoria TÂRGU JIU,Inregistrat,Nu,TÂRGU JIU,GORJ,,"Scopul asociației il constituie reprezentarea si promovarea atât in fața autorităților, cât si in fața altor persoane juridice de drept public sau privat, precum si a oricărui alt subiect de drept, a intereselor asociației, in condițiile prezentului statut si ale legii.
Asociația va desfășura activitățile stabilite prin prezentul statut, care se referă in esență la realizarea de obiective educaționale, la dezvoltarea, modernizarea; intreținerea bazei materiale a grădiniței, la sprijinirea grădiniței in realizarea si îmbunătățirea continuă a procesului de instruire si educare a elevilor.
Art. 6 „ASOCIAȚIA INFINIT PENTRU VIITOR"" este de a contribui la buna desfășurare a activității școlare și acondițiilor în care se desfășoară activitatea din Grădinița, la creșterea performanțelor școlare, motivarea elevilor, susținerea materială a elevilor cu probleme speciale,promovarea preșcolarilor din Grădinița cu program prelungit nr. 8 Tg-Jiu, promovarea imaginii școlii românești în general și a Gradinitii cu program prelungit nr 8 Tg-Jiu, în mod special.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4598,3606/A/2025,89/A,05.12.2025,Asociație,ASOCIAȚIA MONTESSORI4ALL,Judecatoria ORADEA,Inregistrat,Nu,ORADEA,BIHOR,,"Scopul asociatiei este promovarea, dezvoltarea si implementarea educatiei alternative Montessori, bazata pe respectul pentru copil, pe incurajarea invatarii autonome si pe dezvoltarea armonioasa a fiecarui individ, in conformitate cu potentialul sau natural si cu principiile recunoscute international ale pedagogiei Montessori, ca mijloc de dezvoltare armonioasa a copiilor, sustinerea familiilor in procesul educativ si formarea continua a cadrelor didactice si specialistilor din domeniul educatiei. Scopul asociatiei vizeaza de asemenea sprijinirea copiilor, parintilor si cadrelor didactice in procesul educational, in vederea formarii unor persoane independente, responsabile, creative si integrate social.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4607,3583/A/2025,18,04.12.2025,Asociație,"ASOCIAȚIA "" ÎMPREUNĂ PENTRU EDUCATIA DIN COM. MICĂSASA''",Judecatoria MEDIAS,Inregistrat,Nu,IASI,SIBIU,,"Asociația are ca scop susținerea și sprijinirea desfășurării activității educaționale a Școlii Gimnaziale „Corneliu Păcurariu"" din Comuna Micăsasa, Județul Sibiu, a elevilor care frecventează această școală, precum și a activităților didactice și extrașcolare care au ca obiect educarea, dezvoltarea, culturalizarea elevilor Școlii din Micăsasa.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4609,3574/A/2025,120,04.12.2025,Asociație,ASOCIAȚIA EPAFRAS,Judecatoria BRASOV,Inregistrat,Nu,Vama Buzaului,BRASOV,,"„promovarea si apărarea drepturilor persoanelor aflate în situații de risc si dificultate materiala, sociala si spirituala, prin identificarea, monitorizarea, consilierea si întrajutorarea lor, in incercarea de ameliorare a calitatii vietii acestora si integrarea sau reintegrarea acestora in societate/comunitate; sustinerea persoanelor provenite din rândul categoriilor socile defavorizate (tineri si copii proveniti din familii dezorganizate si disfunctionale, persoane varstnice singure, sărace si fara sprijin familial, persoane  lipsite de adăpost sau locuinta, persoane lipsite de mijloace financiare minime de subzistenta, victime ale violentei domestice; alte persoane aflate în situatii de vulnerabilitate sociala si in dificultate materaiala; sprijinirea si realizarea unor activitati proiecte si programe umanitare, sociale, educationale si spirituale care vin in sprijinul categoriilor sociale mentionate cu scopul integrării acestora din punct de vedere social, în comunitatea din care fac parte”.",Nu,Consiliere copii,"menționează explicit consiliere/suport psihologic pentru copii, elevi sau minori",Consiliere copii
4613,3595/A/2025,4,04.12.2025,Asociație,ASOCIATIA RIDE & RIDE TELEORMAN,Judecatoria TURNU MAGURELE,Inregistrat,Nu,TURNU MAGURELE,TELEORMAN,,"Promovarea Motociclismului Românesc, susținerea, acordarea de sprijin financiar,
stimularea și derularea de activități în acest domeniu.
Organizarea de acțiuni de voluntariat în domeniul activităților exercitate;
Dezvoltarea legăturilor cu alte organizații și persoane fizice din țară și din străinătate cu
interese comune cu cele ale asociației, prin schimburi de experiență, proiecte comune și
delegații reprezentând asociația;
Pentru atingerea scopurilor, asociația va putea desfășura activități economice directe și de strângere de fonduri;
Organizarea campaniilor de donații, organizarea de activități de tip voluntariat, dar și cu suport financiar pentru cazurile sociale;
Organizarea de evenimente, gale, tombole, spectacole, concerte și activități cu public; Vânzarea de materiale exclusive ale asociației (obiecte personalizate, materiale informative și <ORGANIZATION>m.d.)
Prestarea oricărei activități permise de lege din care se pot obține beneficii in vederea asigurării autofinanțării, precum și atragerea altor surse de finanțare pentru realizarea obiectivelor.
Activități de promovare a mersului preventiv, a păstrări unei conduite de trafic positive;
Implicarea in educarea motocicliștilor fie incepatori, fie avansați, intr-o conduită de
trafic preventivă și intr-un mers cu o atente sporită;
Educarea motocicliștilor din punct de vedere al conduitei de trafic ;
Educație tehnica privind îngrijirea unui motor;
Educație privind mersul in grup organizat;
Educație privind respectul in trafic acordați celorlalți participant;
Organizarea de evenimente educative și sportive;
Organizarea de adunări moto pentru plimbări;
Organizarea de competiții moto;
Educația civică a <PERSON> privind modul de abordare față de trafic; Creșterea responsabilității față de motociclism; Educație privind comunicarea cu mediul moto;
•	Educație privind comunicarea cu cluburile moto;
•	Educație privind comunicarea cu asociațiile moto ;
•	Organizarea de evenimente caritabile;
•	Organizarea de evenimente alături de cluburi moto;
•	Scopul general al asociației îl constituie practicarea educației de trafic și a motociclismului în toate formele sale, de către <PERSON> și orice alte <PERSON>, indiferent de statutul lor (amator sau profesionist);
•	Asociația poate să înființeze filiale și agenții ca structuri teritoriale, cu sau fără personalitate juridică, pe regiuni de dezvoltare, județe sau zone geografice, precum și reprezentanțe in străinătate, pe baza legislației interne și internaționale și a statutului propriu;
•	Asociația poate să fondeze, să adere și să se afilieze la organizații interne și internaționale și să stabilească relații directe cu alte organizații din țară și din străinătate in condițiile legii și ale prevederilor prezentului statut.
•	Promovarea și organizarea de evenimente, conferințe, seminarii, pentru promovarea motociclismului sportiv , în general în <LOCATION>;
•	Descoperirea de talente și pregătirea lor pentru a intra în circuitul profesional;
•	Organizarea de competiții sportive de motociclism;
•	Redactare de știri și materiale, campanii de comunicare în media și în cercurile de afaceri, prin promovarea valorilor atât în domeniul sportului, cât și în domeniul sportului cu motor;
•	Inițierea și coordonarea de parteneriate cu asociații similare din alte țări, în vederea încurajării schimburilor interculturale;
•	Alte activități adiacente celor menționate mai sus, menite să asigure realizarea scopurilor asociației
•	Susținerea formării profesionale a personalului <PERSON> Ride&Ride;
•	Menținerea, fidelizarea personalului prin sprijinirea in formare și dezvoltare profesională, prin acordarea de premii și cursuri de specialitate pentru calificarea lor din punct de vedere tehnic sau medical;
•	Sprijinirea <PERSON> cu posibilități materiale reduse pentru a facilita integrarea acestora in societate, intr-o normalitate morală, dar și materială;
•	Activități de concepție, editare, difuzare a materialelor de promovare, sau a manualelor tehnice specific;
•	Pregătirea sportivă, cu precădere a <PERSON> doritori să practice sportul;
•	Participarea la competițiile organizate de organele în drept;
» Organizarea de acțiuni proprii formării sportive a <PERSON>, competiții sportive, concur-suri, convenții sportive, workshop-uri și orice alte forme de manifestări sportive;
•	Editarea de programe, postere și alte publicații de propagandă sportivă;
•	Editarea de CD-uri, pagini web, buletine informative și materiale publicitare in scopul cunoașterii activității și profilului asociației și a performanțelor sale profesionale;
•	Alte mijloace de acțiune în legătură cu scopul asociației;
•	Realizarea altor obiective sportive stabilite de Adunarea Generală sau Consiliul Director in scopul asociației;
Promovarea și organizarea de evenimente, conferințe, seminarii, pentru promovarea motociclismului ocazional sau <PERSON>, a sportului, în general, în <LOCATION>; Descoperirea de noi talente și pregătirea lor pentru a intra în circuitul profesional; Atragerea de finanțări;
Atragerea de finanțări sub forma de donații, sponsorizări, etc. în vederea promovării sportului și activităților culturale în cadrul evenimentelor în care este implicată Asociația; Redactarea de știri și materiale, campanii de comunicare în media și în cercurile de afaceri,
prin promovarea valorilor atât în domeniul sportului cât și în domeniul motociclismului sportiv;
•	Inițierea și coordonarea de parteneriate cu asociații similare din alte țări, în vederea încurajării schimburilor interculturale;
•	Alte activități adiacente celor menționate mai sus, menite să asigure realizarea scopurilor Asociației;
•	Atrage și utilizează surse de finanțare și resurse patrimoniale în condițiile legii;
•	Oferă donații, sponsorizări și acordă burse, contribuții, premii, diplome, medalii și alte asemenea;
•	Organizarea de competiții sportive;
•	Organizarea de evenimente și campanii de mediatizare la nivel local, național și internațion-al pe teme diverse de educație conform obiectului de activitate al asociației;
•	Organizarea de evenimente in interior și in aer liber - cursuri, workshop-uri, conferințe, școli de vară sau iarnă tematice, tabere tematice, <FACILITY>, <FACILITY>, festivaluri, campionate, concursuri, întâlniri one to one pe diverse teme de educație conform obiectului de activitate al asociației;
•	Susținerea unor categorii defavorizate: <PERSON> și tineri fără posibilități financiare, <PERSON> singuri prin cursuri, meditații, workshop-uri, etc.;
•	Organizarea unor campanii de ajutorare a categoriilor defavorizate in atingerea unor performante in educație, respectiv in dezvoltarea personală și dobândirea de noi cunoștințe.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4615,3576/A/2025,122,04.12.2025,Asociație,SONATA SUFLETULUI PENTRU TOȚI,Judecatoria BRASOV,Inregistrat,Nu,Cristian,BRASOV,,"„desfășurarea de activități din domeniul educației muzicale, în vederea dezvoltării capacităților de exprimare muzicală prin activități practice de interpretare vocală și instrumentală și prin audiții muzicale; desfășurarea de activități din domeniul sportiv, constând în organizarea unor activități de tip „memorial” dedicate sportivilor cristoloveni; asigurarea suportului social, material și financiar pentru desfășurarea de activități educative, extrașcolare și extracurriculare destinate elevilor, copiilor din învățământul preșcolar și tinerilor în vederea îmbogățirii și aprofundării cunoștințelor, a lărgirii orizontului educativ dar și pentru conștientizarea importanței implicării în viața civică a comunității din care aceștia fac parte; susținerea morală, educativă, materială și financiară a copiilor și a tinerilor care provin din medii dezavantajate, medii defavorizate socio-economic, copii/tineri vulnerabili, copii/tineri cu cerințe educaționale speciale; susținerea morală, materială și financiară a persoanelor bolnave, indiferent de vârstă, care datorită unor motive de natură economică nu au posibilitatea să-și asigure resursele necesare pentru supraviețuire, pentru un trai decent, costurile privind procedurile de diagnostic și/sau tratament, inclusiv spitalizarea, în vederea recuperării medicale, a ameliorării stării de sănătate și îmbunătățirii calității vieții”.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4643,3549/A/2025,116,02.12.2025,Asociație,AMPRENTE VII TEATRU PENTRU EDUCAȚIE,Judecatoria BRASOV,Inregistrat,Nu,BRASOV,BRASOV,,"„sprijinirea activității educaționale, culturale, artistice și sociale a elevilor din învățământul de stat și privat, precum și susținerea dezvoltării personale și profesionale a elevilor, cu accent de promovarea artei teatrale și a educației nonformale”.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4658,3534/A/2025,104/A,29.11.2025,Asociație,ASOCIAȚIA „CASA LĂBUȚELOR”,Judecatoria IASI,Inregistrat,Nu,IASI,IASI,,"(1) Asociația „Casa Lăbuțelor"" are drept scopuri principale:
I.	Organizarea de campanii gratuite de vaccinare, deparazitare, microcipare, sterilizare, respectiv tratamentul medical și îngrijirea animalelor domestice fără stăpân, dar și a animalelor domestice care aparțin persoanelor lipsite de posibilități materiale.
II.	Construirea și administrarea de adăposturi pentru animalele domestice fără stăpân/a animalelor domestice aparținând persoanelor cu o situație materială precară.
III.     Achiziția de hrană și de medicamente pentru animalele domestice aflate în nevoie.
IV.	Identificarea, salvarea și sprijinul oferit animalelor domestice tară stăpân, a celor supuse relelor tratamente, animalelor sus-menționate bolnave sau care au fost abandonate.
V.	Stoparea abuzurilor împotriva animalelor, cu ajutorul autorităților competente în domeniu, precum și lupta împotriva abandonului animalelor domestice, respectând dispozițiile legale în vigoare.
VI.    Respectarea drepturilor animalelor conform legislației în vigoare, reclamarea oricăror abateri, apărarea animalelor domestice de abuzuri și neglijență. VII. Plasarea animalelor domestice fără stăpân în familii adoptive, temporar sau permanent ori în adăposturi private ce respectă standardele de bunăstare pentru animale, impuse de legea protecției animalelor în vigoare. VIII. Conceperea și implementarea de workshop-uri/evenimente de informare în legătură cu ocrotirea animalelor domestice Iară stăpân, abandonate, supuse relelor tratamente ori private de hrană și/sau îngrijiri medicale.
IX.	Conceperea, promovarea și desfășurarea dc programe educaționale nonformale pentru copii și tineri, în colaborare cu instituții dc învățământ, instituții de stat precum și cu organizații nonguvernamentale, având ca subiecte principale bunăstarea animalelor, importanța adopției și importanța sterilizării.
X.	Conceperea și dezvoltarea unui centru de terapie și activități asistate de animale, în beneficiul persoanelor cu dizabilități.
XI.     Gestionarea adopțiilor și a strângerilor de fonduri pentru animalele aliate în nevoie, prin activități specifice, precum: organizarea de târguri/evenimente caritabile, spectacole, promovarea în mediul online, colaborarea cu alte persoane juridice dc drept privat/public, comercializarea/licitarea de obiecte inscripționate cu denumirea/sigla Asociației. comercializarea/licitarea de obiecte dobândite cu titlu dc donație, în vederea colectării dc fonduri.
XII. Ajutorarea persoanelor vârstnice, a copiilor și tinerilor atât din mediul rural, cât și din mediul urban, care au resurse materiale precare, prin: achiziții dc hrană, jucării, electrocasnice, articole vestimentare, produse de igienă.
XIII.   Strângerea de fonduri în vederea sprijinirii persoanelor vulnerabile aflate sau nu în  instituțiile de ocrotire ale statului,  indiferent de vârstă, prin activități caracteristice, precum: organizarea de târguri caritabile, spectacole, promovarea în mediul online, colaborarea cu alte persoane juridice de drept privat/public, comercializarea/licitarea de obiecte inscripționate cu denumirea/sigla Asociației, în vederea colectării de fonduri, comercializarea/licitarea de obiecte dobândite cu titlu dc donație, în același scop.
XIV. încheierea de contracte dc colaborare cu autoritățile locale, județene, alte ONG-uri dc specialitate, dar și cu societăți private, in vederea strângerii dc fonduri pentru scopurile enumerate la art. 4 alin. (1), pct. I-XII din prezentul statut.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4677,3507/A/2025,138,28.11.2025,Asociație,ASOCIAȚIA DE SPRIJIN AUTISM MĂLIN & LAUR,Judecatoria SECTORUL 1 BUCURESTI,Inregistrat,Nu,BUCURESTI,BUCURESTI,,"a)	Organizarea de evenimente sociale si culturale de impact precum si diverse actiuni de colectare a fondurilor pentru proiecte umanitare avand drept scop imbunatatirea calitatii vietii lui Picoiu Malin-Octavian si Picoiu Laur-Sebastian (terapie, tratament, insotitor, etc.);
b)	Incheierea de parteneriate cu diferite entitati in vederea desfasurarii unor actiuni umanitare (ex: asociatii, institutii publice sau private) in scopul diminuarii riscului de marginalizare si excludere sociala pentru Picoiu Malin-Octavian si Picoiu Laur-Sebastian;
c)  Realizarea de campanii umanitare in vederea unei vieti mai bune Picoiu Malin-Octavian si Picoiu Laur-Sebastian (terapie, tratament, insotitor etc.);
d)  Promovarea, sprijinirea, realizarea si coordonarea de activitati de atragere de fonduri  care sa contribuie la dezvoltarea armonioasa a lui Picoiu Malin-Octavian si Picoiu Laur-Sebastian;
e)  Solicitarea de ajutor in orice demers necesar imbunatatirii starii de sanatate a lui  Picoiu Malin-Octavian si Picoiu Laur-Sebastian (donatii, sprijin logistic atat in tara, cat si in strainatate);
f)   Implementarea din punct de vedere logistic ale unor proiecte de mai mare anvergura de genul: constructia si/sau amenajarea unei cladiri care sa deserveasca nevoilor speciale ale lui Picoiu Malin-Octavian si Picoiu Laur-Sebastian;
g)  Colaborarea cu persoane fizice sau entitati (companii, asociatii etc.) precum si cu alte organizatii de profil din tara si strainatate pentru ajutorarea cazurilor lui Picoiu Malin-Octavian si Picoiu Laur-Sebastian;
h)  Realizarea de acorduri de colaborare cu institutii pentru desfasurarea in incinta institutiilor de evenimente pentru popularizarea si sustinerea cazului lui cazurilor lui Picoiu Malin-Octavian si Picoiu Laur-Sebastian;
i)   Participarea la concursuri, evenimente, competitii, cu scopul promovarii actiunilor Asociatiei si atragerea de donatori, sponsori si fonduri;
j)   Stabilirea de legaturi de colaborare cu organizatii similare sau intrarea in uniuni/ federatii, cu alte institutii si persoane juridice sau fizice din tara si strainatate, pentru indeplinirea scopului propus;
k)	Accesarea gratuita de consiliere psihologica pentru parinti impreuna cu copii bolnavi pentru cazurile lui Picoiu Malin-Octavian si Picoiu Laur-Sebastian in vederea depasirii situatiilor de crizÒ;
l)	Activitati de recuperare a copiilor cu probleme prin terapii alternative, dans, joaca si sport;
m)	Dezvoltarea de activitati economice proprii in vederea autofinantarii;
n)	Atragerea si utilizarea, in conditiile legii, de surse de finantare si resurse sub forma de subventii, contributii, cotizatii, sponsorizari, finantari pe baza de proiecte cu surse de finantare interne si externe etc. precum si gestionarea fondurilor provenite din cotizatii si alte surse.",Nu,Consiliere copii,"menționează explicit consiliere/suport psihologic pentru copii, elevi sau minori",Consiliere copii
4678,3496/A/2025,197,28.11.2025,Asociație,ASOCIAȚIA SPORTIVĂ SERGYM CLUJ,Judecatoria CLUJ-NAPOCA,Inregistrat,Nu,CLUJ-NAPOCA,CLUJ,,"promovarea unui stil de viață sănătos, prin sport, educație fizică, mișcare și dezvoltare personală, prin organizarea de activități și evenimente sportive, cu accent pe fitness, triatlon, sport de masă și activități pentru copii și familie",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4688,3510/A/2025,156,28.11.2025,Asociație,ASOCIAȚIA EDUCULT RCH,Judecatoria SECTORUL 6 BUCURESTI,Inregistrat,Nu,BUCURESTI,BUCURESTI,,"Scopul asociației consta promovarea educației de calitate și a dezvoltării personale în rândul copiilor, adolescenților și tinerilor, prin activități educaționale, culturale, sociale, sportive, consiliere psihopedagogică și formare non-formală, într-un mediu sigur, empatic și adaptat nevoilor individuale. Sprijinirea diferitelor categorii de persoane fizice (copii, bătrâni, persoane cu dizabilități, alte persoane fizice din categorii defavorizate).",Nu,Consiliere copii; Educație/meditații,"menționează explicit consiliere/suport psihologic pentru copii, elevi sau minori; menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Consiliere copii + Educație/meditații
4710,3482/A/2025,131,27.11.2025,Asociație,ASOCIAȚIA DIMITRIE BOLINTINEANU 5,Judecatoria SECTORUL 1 BUCURESTI,Inregistrat,Nu,BUCURESTI,BUCURESTI,,"- desfășurarea, susținerea si promovarea tinerilor, precum si identificarea și selectarea tinerilor cu potențial antreprenorial și oferirea de programe de instruire specializată pentru dezvoltarea abilităților necesare în acest domeniu, inclusiv inițierea în afaceri, planificarea și implementarea de proiecte antreprenoriale.
Susținerea și dezvoltarea abilităților antreprenoriale ale tinerilor prin stagii de pregătire, ateliere practice și întâlniri cu antreprenori de succes, în vederea încurajării spiritului inovator si creativ, crearea unei baze materiale necesare pentru desfășurarea workshop-urilor și evenimentelor - dotarea salilor de curs, achizitionarea materialelor de instruire si asigurarea resurselor necesare pentru participanti, colaborarea cu organizații educative, școli, universități si aite instituții similare pentru a dezvolta parteneriate și pentru a asigura o gamă variata de oportunități de învățare și dezvoltare pentru tineri, instruirea și dezvoltarea continuă a membrilor Asociației, a mentorilor, tutorilor și a altor persoane implicate în procesul educațional, pentru a asigura un nivel înalt de profesionalism și eficiență în activitățile de orientare profesională si mentorat cat si atragerea cat mai multor studenti si adolescenți în activități de orientare profesională, creând oportunități concrete pentru dezvoltarea abilităților necesare pe piața muncii și identificarea unor cariere potrivite fiecărui participant.
Susținerea tinerilor talentați in diferite domenii artistice pentru promovarea lor viitoare, intr-ajutorarea sociala in cazuri extreme, susținerea culturii.
Promovarea patrimoniului cultural național, susținerea creației artistice, educarea și implicarea publicului, cooperarea transnațională și consolidarea identității europene, organizarea de evenimente culturale, expozitii, concerte, ateliere, publicarea de materiale, dar și dezvoltarea de parteneriate si accesarea de fonduri europene.
Organizarea de evenimente, expozitii, conferinte, publicații dedicate patrimoniului cultural local, național sau european.
Oferirea de sprijin financiar, logistic sau de altă natură artiștilor șl creatorilor culturali, organizarea de concursuri, rezidențe artistice.
Organizarea de ateliere creative, cursuri, prezentări, evenimente interactive pentru toate categoriile de vârstă, cu scopul de a crește interesul și participarea la cultură.
Stabilirea de parteneriate cu organizații culturale tim alte țări, participarea la proiecte europene, schimburi culturale.
Organizarea de evenimente In spații neconvenționale, adaptarea activităților pentru persoanele cu dizabilitati, promovarea culturii în comunitatile defavorizate.
Cunoasterea si aplicarea pentru granturi disponibile prin programele culturale europene.
Acordarea de ajutor material (bani, alimente, haine), asistenta morala si sprijin pentru persoanele aflate în nevoie, fara a face discriminari.
Combaterea saraciei, sustinerea educatiei si a sanatatii, protectia mediului si promovarea drepturilor fundamentale.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
4718,3477/A/2025,195,27.11.2025,Asociație,CARES – COPII – ACȚIUNE – RESURSE – EDUCAȚIE - SPRIJIN,Judecatoria CLUJ-NAPOCA,Inregistrat,Nu,CLUJ-NAPOCA,CLUJ,,"sprijinirea unei dezvoltări complete si armonioase a copiilor, oferindu-le posibilitatea de a dobândi un grad maxim de autonomie și de a se integra activ în societate, a progresului individual al tinerilor și susține libertatea fiecărei persoane de a-și căuta propria fericire, în acord cu valorile și aspirațiile personale, în funcție de valorile și aspirațiile personale, pregătindu-i astfel cât mai bine pentru viața de adult",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
